species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Zucchini,HortasDoVale-West (HDVW) - bed 11,"6,8",,2021-W34 Zucchini HVW11-N,harvest from 2021-W34 Zucchini HVW11-N,TRUE,2021-09-27,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 5,"9,5",,2021-W23 Zucchini HVW05-N,harvest from 2021-W23 Zucchini HVW05-N,TRUE,2021-09-27,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 7,"4,26",,2021-W29 Zucchini HVW07-N,harvest from 2021-W29 Zucchini HVW07-N,TRUE,2021-09-27,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 5,"1,6",,2021-W10 Zucchini WGH5,harvest from 2021-W10 Zucchini WGH5,TRUE,2021-09-27,,,,plantings,weight,Kg
Horseradish,HortasDoVale-West (HDVW) - bed 10 south section,"3,6",,2021-W34 Horseradish HVW10-S,harvest from 2021-W34 Horseradish HVW10-S,TRUE,2021-09-27,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 1,3,,2021-W31 Tomatoes varied HVW01-N,harvest from 2021-W31 Tomatoes varied HVW01-N,TRUE,2021-09-27,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 3,"1,9",,2021-W15 Tomatoes varied HVW03,harvest from 2021-W15 Tomatoes varied HVW03,TRUE,2021-09-27,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 8,"4,7",,2021-W21 Tomatoes varied HVW08,harvest from 2021-W21 Tomatoes varied HVW08,TRUE,2021-09-27,,,,plantings,weight,Kg
Tomatoes varied,Winter Green House - bed 6,"2,58",,2021-W14 Tomatoes varied WGH6,harvest from 2021-W14 Tomatoes varied WGH6,TRUE,2021-09-27,,,,plantings,weight,Kg
Tomatoes small,HortasDoVale-West (HDVW) - bed 1,"2,8",,2021-W31 Tomatoes small HVW01-N,harvest from 2021-W31 Tomatoes small HVW01-N,TRUE,2021-09-27,,,,plantings,weight,Kg
Tomatoes small,HortasDoVale-West (HDVW) - bed 3,1,,2021-W15 Tomatoes small HVW03,harvest from 2021-W15 Tomatoes small HVW03,TRUE,2021-09-27,,,,plantings,weight,Kg
Tomatoes small,Winter Green House - bed 6,"3,6",,2021-W14 Tomatoes small WGH6,harvest from 2021-W14 Tomatoes small WGH6,TRUE,2021-09-27,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 9 north section,"2,9",,2021-W32 Dinosaur kale HVW09-N,harvest from 2021-W32 Dinosaur kale HVW09-N,TRUE,2021-10-04,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 11,"7,5",,2021-W34 Zucchini HVW11-N,harvest from 2021-W34 Zucchini HVW11-N,TRUE,2021-10-04,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 5,"5,6",,2021-W23 Zucchini HVW05-N,harvest from 2021-W23 Zucchini HVW05-N,TRUE,2021-10-04,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 7,"2,8",,2021-W29 Zucchini HVW07-N,harvest from 2021-W29 Zucchini HVW07-N,TRUE,2021-10-04,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 5,"0,81",,2021-W10 Zucchini WGH5,harvest from 2021-W10 Zucchini WGH5,TRUE,2021-10-04,,,,plantings,weight,Kg
Horseradish,HortasDoVale-West (HDVW) - bed 10 south section,"6,7",,2021-W34 Horseradish HVW10-S,harvest from 2021-W34 Horseradish HVW10-S,TRUE,2021-10-04,,,,plantings,weight,Kg
Tomatoes small,HortasDoVale-West (HDVW) - bed 1,"3,9",,2021-W31 Tomatoes small HVW01-N,harvest from 2021-W31 Tomatoes small HVW01-N,TRUE,2021-10-04,,,,plantings,weight,Kg
Tomatoes small,HortasDoVale-West (HDVW) - bed 3,"0,91",,2021-W15 Tomatoes small HVW03,harvest from 2021-W15 Tomatoes small HVW03,TRUE,2021-10-04,,,,plantings,weight,Kg
Tomatoes small,Winter Green House - bed 6,"4,8",,2021-W14 Tomatoes small WGH6,harvest from 2021-W14 Tomatoes small WGH6,TRUE,2021-10-04,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 1,10,,2021-W31 Tomatoes varied HVW01-N,harvest from 2021-W31 Tomatoes varied HVW01-N,TRUE,2021-10-04,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 3,"3,4",,2021-W15 Tomatoes varied HVW03,harvest from 2021-W15 Tomatoes varied HVW03,TRUE,2021-10-04,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 8,"2,7",,2021-W21 Tomatoes varied HVW08,harvest from 2021-W21 Tomatoes varied HVW08,TRUE,2021-10-04,,,,plantings,weight,Kg
Tomatoes varied,Winter Green House - bed 6,"2,2",,2021-W14 Tomatoes varied WGH6,harvest from 2021-W14 Tomatoes varied WGH6,TRUE,2021-10-04,,,,plantings,weight,Kg
Hokkaido Squash,HortasDoVale-East (HDVE) - bed 27,"7,74",,2021-W33 Hokkaido Squash HVE27-N,harvest from 2021-W33 Hokkaido Squash HVE27-N,TRUE,2021-10-11,,,,plantings,weight,Kg
Dinosaur kale,Summer Green House (SGH) - bed 1 north section,"0,25",,2021-W16 Dinosaur kale SGH1-N,harvest from 2021-W16 Dinosaur kale SGH1-N,TRUE,2021-10-11,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 9 north section,"3,4",,2021-W32 Dinosaur kale HVW09-N,harvest from 2021-W32 Dinosaur kale HVW09-N,TRUE,2021-10-11,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 11,"4,53",,2021-W34 Zucchini HVW11-N,harvest from 2021-W34 Zucchini HVW11-N,TRUE,2021-10-11,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 5,"9,48",,2021-W23 Zucchini HVW05-N,harvest from 2021-W23 Zucchini HVW05-N,TRUE,2021-10-11,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 7,"3,6",,2021-W29 Zucchini HVW07-N,harvest from 2021-W29 Zucchini HVW07-N,TRUE,2021-10-11,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 5,"0,31",,2021-W10 Zucchini WGH5,harvest from 2021-W10 Zucchini WGH5,TRUE,2021-10-11,,,,plantings,weight,Kg
Horseradish,HortasDoVale-West (HDVW) - bed 10 south section,"9,9",,2021-W34 Horseradish HVW10-S,harvest from 2021-W34 Horseradish HVW10-S,TRUE,2021-10-11,,,,plantings,weight,Kg
Tomatoes small,HortasDoVale-West (HDVW) - bed 1,"4,2",,2021-W31 Tomatoes small HVW01-N,harvest from 2021-W31 Tomatoes small HVW01-N,TRUE,2021-10-11,,,,plantings,weight,Kg
Tomatoes small,HortasDoVale-West (HDVW) - bed 3,"0,7",,2021-W15 Tomatoes small HVW03,harvest from 2021-W15 Tomatoes small HVW03,TRUE,2021-10-11,,,,plantings,weight,Kg
Tomatoes small,Winter Green House - bed 6,"2,4",,2021-W14 Tomatoes small WGH6,harvest from 2021-W14 Tomatoes small WGH6,TRUE,2021-10-11,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 1,"9,1",,2021-W31 Tomatoes varied HVW01-N,harvest from 2021-W31 Tomatoes varied HVW01-N,TRUE,2021-10-11,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 3,"3,8",,2021-W15 Tomatoes varied HVW03,harvest from 2021-W15 Tomatoes varied HVW03,TRUE,2021-10-11,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 8,3,,2021-W21 Tomatoes varied HVW08,harvest from 2021-W21 Tomatoes varied HVW08,TRUE,2021-10-11,,,,plantings,weight,Kg
Tomatoes varied,Winter Green House - bed 6,"3,9",,2021-W14 Tomatoes varied WGH6,harvest from 2021-W14 Tomatoes varied WGH6,TRUE,2021-10-11,,,,plantings,weight,Kg
Hokkaido Squash,HortasDoVale-East (HDVE) - bed 27,"4,1",,2021-W33 Hokkaido Squash HVE27-N,harvest from 2021-W33 Hokkaido Squash HVE27-N,TRUE,2021-10-18,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 9 north section,"1,1",,2021-W32 Dinosaur kale HVW09-N,harvest from 2021-W32 Dinosaur kale HVW09-N,TRUE,2021-10-18,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 11,"7,8",,2021-W34 Zucchini HVW11-N,harvest from 2021-W34 Zucchini HVW11-N,TRUE,2021-10-18,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 5,"6,2",,2021-W23 Zucchini HVW05-N,harvest from 2021-W23 Zucchini HVW05-N,TRUE,2021-10-18,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 7,"3,6",,2021-W29 Zucchini HVW07-N,harvest from 2021-W29 Zucchini HVW07-N,TRUE,2021-10-18,,,,plantings,weight,Kg
Horseradish,HortasDoVale-West (HDVW) - bed 10 south section,8,,2021-W34 Horseradish HVW10-S,harvest from 2021-W34 Horseradish HVW10-S,TRUE,2021-10-18,,,,plantings,weight,Kg
Tomatoes small,HortasDoVale-West (HDVW) - bed 1,"6,7",,2021-W31 Tomatoes small HVW01-N,harvest from 2021-W31 Tomatoes small HVW01-N,TRUE,2021-10-18,,,,plantings,weight,Kg
Tomatoes small,HortasDoVale-West (HDVW) - bed 3,"0,3",,2021-W15 Tomatoes small HVW03,harvest from 2021-W15 Tomatoes small HVW03,TRUE,2021-10-18,,,,plantings,weight,Kg
Tomatoes small,Winter Green House - bed 6,"2,1",,2021-W14 Tomatoes small WGH6,harvest from 2021-W14 Tomatoes small WGH6,TRUE,2021-10-18,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 1,"4,4",,2021-W31 Tomatoes varied HVW01-N,harvest from 2021-W31 Tomatoes varied HVW01-N,TRUE,2021-10-18,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 3,"5,42",,2021-W15 Tomatoes varied HVW03,harvest from 2021-W15 Tomatoes varied HVW03,TRUE,2021-10-18,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 8,2,,2021-W21 Tomatoes varied HVW08,harvest from 2021-W21 Tomatoes varied HVW08,TRUE,2021-10-18,,,,plantings,weight,Kg
Tomatoes varied,Winter Green House - bed 1,"0,1",,2021-W13 Tomatoes varied WGH1,harvest from 2021-W13 Tomatoes varied WGH1,TRUE,2021-10-18,,,,plantings,weight,Kg
Tomatoes varied,Winter Green House - bed 6,"2,3",,2021-W14 Tomatoes varied WGH6,harvest from 2021-W14 Tomatoes varied WGH6,TRUE,2021-10-18,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 11,"3,66",,2021-W34 Zucchini HVW11-N,harvest from 2021-W34 Zucchini HVW11-N,TRUE,2021-10-25,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 5,"1,3",,2021-W23 Zucchini HVW05-N,harvest from 2021-W23 Zucchini HVW05-N,TRUE,2021-10-25,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 7,"2,645",,2021-W29 Zucchini HVW07-N,harvest from 2021-W29 Zucchini HVW07-N,TRUE,2021-10-25,,,,plantings,weight,Kg
Tomatoes small,HortasDoVale-West (HDVW) - bed 1,4,,2021-W31 Tomatoes small HVW01-N,harvest from 2021-W31 Tomatoes small HVW01-N,TRUE,2021-10-25,,,,plantings,weight,Kg
Tomatoes small,HortasDoVale-West (HDVW) - bed 3,"0,4",,2021-W15 Tomatoes small HVW03,harvest from 2021-W15 Tomatoes small HVW03,TRUE,2021-10-25,,,,plantings,weight,Kg
Tomatoes small,Winter Green House - bed 6,"0,5",,2021-W14 Tomatoes small WGH6,harvest from 2021-W14 Tomatoes small WGH6,TRUE,2021-10-25,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 1,"4,4",,2021-W31 Tomatoes varied HVW01-N,harvest from 2021-W31 Tomatoes varied HVW01-N,TRUE,2021-10-25,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 3,"1,6",,2021-W15 Tomatoes varied HVW03,harvest from 2021-W15 Tomatoes varied HVW03,TRUE,2021-10-25,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 8,"0,6",,2021-W21 Tomatoes varied HVW08,harvest from 2021-W21 Tomatoes varied HVW08,TRUE,2021-10-25,,,,plantings,weight,Kg
Tomatoes varied,Winter Green House - bed 1,"3,5",,2021-W13 Tomatoes varied WGH1,harvest from 2021-W13 Tomatoes varied WGH1,TRUE,2021-10-25,,,,plantings,weight,Kg
Tomatoes varied,Winter Green House - bed 6,"1,6",,2021-W14 Tomatoes varied WGH6,harvest from 2021-W14 Tomatoes varied WGH6,TRUE,2021-10-25,,,,plantings,weight,Kg
