species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Butternut Squash,HortasDoVale-East (HDVE) - bed 27,"2,6",,2021-W33 Butternut Squash HVE27-S,harvest from 2021-W33 Butternut Squash HVE27-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Hokkaido Squash,HortasDoVale-East (HDVE) - bed 27,"4,8",,2021-W33 Hokkaido Squash HVE27-N,harvest from 2021-W33 Hokkaido Squash HVE27-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 16 north section,"0,75",,2021-W39 Dinosaur kale HVW16-N,harvest from 2021-W39 Dinosaur kale HVW16-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 9 north section,"3,25",,2021-W32 Dinosaur kale HVW09-N,harvest from 2021-W32 Dinosaur kale HVW09-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 3,"3,1",,2021-W41 Zucchini WGH3,harvest from 2021-W41 Zucchini WGH3,TRUE,2022-01-03,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 4,"0,9",,2021-W41 Zucchini WGH4,harvest from 2021-W41 Zucchini WGH4,TRUE,2022-01-03,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 5,"2,4",,2021-W23 Zucchini HVW05-N,harvest from 2021-W23 Zucchini HVW05-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Horseradish,HortasDoVale-West (HDVW) - bed 10 south section,"4,3",,2021-W34 Horseradish HVW10-S,harvest from 2021-W34 Horseradish HVW10-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 16 north section,"1,55",,2021-W39 Dinosaur kale HVW16-N,harvest from 2021-W39 Dinosaur kale HVW16-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 9 north section,"3,45",,2021-W32 Dinosaur kale HVW09-N,harvest from 2021-W32 Dinosaur kale HVW09-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Brussels sprouts,HortasDoVale-West (HDVW) - bed 11 south section,"2,5",,2021-W34 Brussels sprouts HVW11-S,harvest from 2021-W34 Brussels sprouts HVW11-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 5,"2,8",,2021-W23 Zucchini HVW05-N,harvest from 2021-W23 Zucchini HVW05-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 4,"1,15",,2021-W41 Zucchini WGH4,harvest from 2021-W41 Zucchini WGH4,TRUE,2022-01-10,,,,plantings,weight,Kg
Horseradish,HortasDoVale-West (HDVW) - bed 10 south section,"6,03",,2021-W34 Horseradish HVW10-S,harvest from 2021-W34 Horseradish HVW10-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Tomatoes varied,Winter Green House - bed 1,"0,66",,2021-W13 Tomatoes varied WGH1,harvest from 2021-W13 Tomatoes varied WGH1,TRUE,2022-01-10,,,,plantings,weight,Kg
Coriander,Summer Green House (SGH) - bed 2 north section,2,,2021-W44 Coriander SGH2-N,harvest from 2021-W44 Coriander SGH2-N,TRUE,2022-01-17,,,,plantings,weight,Kg
Coriander,Winter Green House - bed 2,"1,55",,#N/A,#N/A,TRUE,2022-01-17,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 16 north section,"1,25",,2021-W39 Dinosaur kale HVW16-N,harvest from 2021-W39 Dinosaur kale HVW16-N,TRUE,2022-01-17,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 9 north section,"2,75",,2021-W32 Dinosaur kale HVW09-N,harvest from 2021-W32 Dinosaur kale HVW09-N,TRUE,2022-01-17,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 3,"0,7",,2021-W41 Zucchini WGH3,harvest from 2021-W41 Zucchini WGH3,TRUE,2022-01-17,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 5,"2,2",,2021-W23 Zucchini HVW05-N,harvest from 2021-W23 Zucchini HVW05-N,TRUE,2022-01-17,,,,plantings,weight,Kg
Horseradish,HortasDoVale-West (HDVW) - bed 10 south section,"16,1",,2021-W34 Horseradish HVW10-S,harvest from 2021-W34 Horseradish HVW10-S,TRUE,2022-01-17,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 16 north section,"0,5",,2021-W39 Dinosaur kale HVW16-N,harvest from 2021-W39 Dinosaur kale HVW16-N,TRUE,2022-01-24,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 9 north section,"1,75",,2021-W32 Dinosaur kale HVW09-N,harvest from 2021-W32 Dinosaur kale HVW09-N,TRUE,2022-01-24,,,,plantings,weight,Kg
Brussels sprouts,HortasDoVale-West (HDVW) - bed 11 south section,1,,2021-W34 Brussels sprouts HVW11-S,harvest from 2021-W34 Brussels sprouts HVW11-S,TRUE,2022-01-24,,,,plantings,weight,Kg
