species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Swiss chard,HortasDoVale-West (HDVW) - bed 13 north section,"6,6",,2021-W27 Swiss chard HVW13-N,harvest from 2021-W27 Swiss chard HVW13-N,true,2022-04-18,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 4 north section,"8,4",,2020-49 Swiss chard Autumn HVW04-N,harvest from 2020-49 Swiss chard Autumn HVW04-N,true,2022-04-18,,,,plantings,weight,Kg
Celery,HortasDoVale-East (HDVE) - bed 23 north section,"8,2",,2021-W52 Celery HVE23-N,harvest from 2021-W52 Celery HVE23-N,true,2022-04-18,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 15 north section,6,,2021-W31 Celery HVW15-N,harvest from 2021-W31 Celery HVW15-N,true,2022-04-18,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 27,7,,2022-W07 Lettuce HVE27,harvest from 2022-W07 Lettuce HVE27,true,2022-04-18,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 4,14,,2021-W37 Lettuce HVW04-N,harvest from 2021-W37 Lettuce HVW04-N,true,2022-04-18,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 18 south section,"8,8",,2021-W46 Leek HVE18-S,harvest from 2021-W46 Leek HVE18-S,true,2022-04-18,,,,plantings,weight,Kg
Garlic,HortasDoVale-East (HDVE) - bed 18 north section,"1,56",,2021-W46 Garlic HVE18-N,harvest from 2021-W46 Garlic HVE18-N,true,2022-04-18,,,,plantings,weight,Kg
Dill,HortasDoVale-East (HDVE) - bed 24 north section,"0,1",,2022-W01 Dill HVE24-N,harvest from 2022-W01 Dill HVE24-N,true,2022-04-18,,,,plantings,weight,Kg
Potato,HortasDoVale-East (HDVE) - bed 19,14,,2022-W04 Potato HVE19,harvest from 2022-W04 Potato HVE19,true,2022-04-18,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 16 south section,"9,3",,2022-W04 Beetroot HVE16-S,harvest from 2022-W04 Beetroot HVE16-S,true,2022-04-18,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 16,15,,2021-W39 Beetroot HVW16,harvest from 2021-W39 Beetroot HVW16,true,2022-04-18,,,,plantings,weight,Kg
Lambs lettuce,HortasDoVale-East (HDVE) - bed 21 south section,"3,19",,2022-W05 Lambs lettuce HVE21-S,harvest from 2022-W05 Lambs lettuce HVE21-S,true,2022-04-18,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 10,"3,2",,2021-W35 Spring onion HVE10,harvest from 2021-W35 Spring onion HVE10,true,2022-04-18,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 9 north section,"4,2",,2021-W38 Spring onion HVE09-N,harvest from 2021-W38 Spring onion HVE09-N,true,2022-04-18,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,"0,7",,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-04-18,,,,plantings,weight,Kg
Coriander,HortasDoVale-East (HDVE) - bed 23 south section,"2,64",,2022-W06 Coriander HVE23-S,harvest from 2022-W06 Coriander HVE23-S,true,2022-04-18,,,,plantings,weight,Kg
Curly kale,HortasDoVale-East (HDVE) - bed 14 south section,4,,2022-W08 Curly kale HVE14-S,harvest from 2022-W08 Curly kale HVE14-S,true,2022-04-18,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-East (HDVE) - bed 21 north section,5,,2022-W05 Kolrabi HVE21-N,harvest from 2022-W05 Kolrabi HVE21-N,true,2022-04-18,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-East (HDVE) - bed 27,"5,7",,2022-W06 Kolrabi HVE27,harvest from 2022-W06 Kolrabi HVE27,true,2022-04-18,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-East (HDVE) - bed 14 south section,"5,06",,2022-W08 Dinosaur kale HVE14-S,harvest from 2022-W08 Dinosaur kale HVE14-S,true,2022-04-18,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 16 north section,"0,34",,2021-W39 Dinosaur kale HVW16-N,harvest from 2021-W39 Dinosaur kale HVW16-N,true,2022-04-18,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 9 north section,"0,34",,2021-W32 Dinosaur kale HVW09-N,harvest from 2021-W32 Dinosaur kale HVW09-N,true,2022-04-18,,,,plantings,weight,Kg
Chinese cabbage,HortasDoVale-East (HDVE) - bed 10 south section,"1,8",,2022-W10 Chinese cabbage HVE10-S,harvest from 2022-W10 Chinese cabbage HVE10-S,true,2022-04-18,,,,plantings,weight,Kg
Chinese cabbage,HortasDoVale-East (HDVE) - bed 21 south section,"3,25",,2022-W05 Chinese cabbage HVE21-S,harvest from 2022-W05 Chinese cabbage HVE21-S,true,2022-04-18,,,,plantings,weight,Kg
Brussels sprouts,HortasDoVale-West (HDVW) - bed 11 south section,"2,2",,2021-W34 Brussels sprouts HVW11-S,harvest from 2021-W34 Brussels sprouts HVW11-S,true,2022-04-18,,,,plantings,weight,Kg
Leef cabbage,HortasDoVale-West (HDVW) - bed 11 south section,2,,2021-W34 Leef cabbage HVW11-S,harvest from 2021-W34 Leef cabbage HVW11-S,true,2022-04-18,,,,plantings,weight,Kg
Zucchini,HortasDoVale-East (HDVE) - bed 23 south section,"0,3",,2022-W10 Zucchini HVE23-S,harvest from 2022-W10 Zucchini HVE23-S,true,2022-04-18,,,,plantings,weight,Kg
Zucchini,HortasDoVale-East (HDVE) - bed 24 south section,"0,3",,2022-W10 Zucchini HVE24-S,harvest from 2022-W10 Zucchini HVE24-S,true,2022-04-18,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 1,"0,6",,2022-W09 Zucchini WGH1,harvest from 2022-W09 Zucchini WGH1,true,2022-04-18,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 2,"0,6",,2022-W09 Zucchini WGH2,harvest from 2022-W09 Zucchini WGH2,true,2022-04-18,,,,plantings,weight,Kg
Spinaches,HortasDoVale-East (HDVE) - bed 8 south section,"7,11",,2022-W09 Spinaches HVE08-S,harvest from 2022-W09 Spinaches HVE08-S,true,2022-04-18,,,,plantings,weight,Kg
Broad beans,HortasDoVale-East (HDVE) - bed 14 north section,7,,2021-W43 Broad beans HVE14-N,harvest from 2021-W43 Broad beans HVE14-N,true,2022-04-18,,,,plantings,weight,Kg
Broad beans,HortasDoVale-East (HDVE) - bed 17,"36,1",,2021-W48 Broad beans HVE17,harvest from 2021-W48 Broad beans HVE17,true,2022-04-18,,,,plantings,weight,Kg
Basil,Winter Green House - bed 4,"0,36",,2022-W11 Basil WGH4,harvest from 2022-W11 Basil WGH4,true,2022-04-18,,,,plantings,weight,Kg
