species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Swiss chard,HortasDoVale-West (HDVW) - bed 13 north section,"4,2",,2021-W27 Swiss chard HVW13-N,harvest from 2021-W27 Swiss chard HVW13-N,true,2022-05-30,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 7 north section,7,,2022-W11 Swiss chard HVW07-N,harvest from 2022-W11 Swiss chard HVW07-N,true,2022-05-30,,,,plantings,weight,Kg
Celery,Summer Green House (SGH) - bed 1 north section,"8,9",,2022-W10 Celery SGH1-N,harvest from 2022-W10 Celery SGH1-N,true,2022-05-30,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 2 south section,"7,9",,2022-W18 Lettuce HVW02-S,harvest from 2022-W18 Lettuce HVW02-S,true,2022-05-30,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 8,"17,5",,2022-W14 Lettuce HVW08,harvest from 2022-W14 Lettuce HVW08,true,2022-05-30,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 18 south section,"1,5",,2021-W46 Leek HVE18-S,harvest from 2021-W46 Leek HVE18-S,true,2022-05-30,,,,plantings,weight,Kg
Dill,HortasDoVale-East (HDVE) - bed 24 south section,"0,7",,2022-W14 Dill HVE24-S,harvest from 2022-W14 Dill HVE24-S,true,2022-05-30,,,,plantings,weight,Kg
Potato,HortasDoVale-East (HDVE) - bed 19,96,,2022-W04 Potato HVE19,harvest from 2022-W04 Potato HVE19,true,2022-05-30,,,,plantings,weight,Kg
Potato,HortasDoVale-East (HDVE) - bed 20,"20,1",,2022-W04 Potato HVE20,harvest from 2022-W04 Potato HVE20,true,2022-05-30,,,,plantings,weight,Kg
Aubergine,Winter Green House - bed 7,"1,1",,2022-W04 Aubergine WGH7,harvest from 2022-W04 Aubergine WGH7,true,2022-05-30,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 14,7,,2022-W09 Beetroot HVW14,harvest from 2022-W09 Beetroot HVW14,true,2022-05-30,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 4,"3,5",,2022-W09 Beetroot HVW04,harvest from 2022-W09 Beetroot HVW04,true,2022-05-30,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 4,"4,3",,2022-W08 Broccoli HVW04,harvest from 2022-W08 Broccoli HVW04,true,2022-05-30,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,"1,08",,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-05-30,,,,plantings,weight,Kg
Coriander,HortasDoVale-East (HDVE) - bed 13 south section,"1,28",,2022-W14 Coriander HVE13-S,harvest from 2022-W14 Coriander HVE13-S,true,2022-05-30,,,,plantings,weight,Kg
Curly kale,HortasDoVale-East (HDVE) - bed 14 south section,"5,2",,2022-W08 Curly kale HVE14-S,harvest from 2022-W08 Curly kale HVE14-S,true,2022-05-30,,,,plantings,weight,Kg
Curly kale,HortasDoVale-West (HDVW) - bed 13 south section,"0,75",,2022-W19 Curly kale HVW13-S,harvest from 2022-W19 Curly kale HVW13-S,true,2022-05-30,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-East (HDVE) - bed 21 north section,"39,1",,2022-W05 Green cabbage HVE21-N,harvest from 2022-W05 Green cabbage HVE21-N,true,2022-05-30,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-East (HDVE) - bed 27,"14,3",,2022-W06 Green cabbage HVE27,harvest from 2022-W06 Green cabbage HVE27,true,2022-05-30,,,,plantings,weight,Kg
Purple cabbage,HortasDoVale-East (HDVE) - bed 27 south section,7,,2022-W07 Purple cabbage HVE27-S,harvest from 2022-W07 Purple cabbage HVE27-S,true,2022-05-30,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-West (HDVW) - bed 3,"2,1",,2022-W14 Kolrabi HVW03,harvest from 2022-W14 Kolrabi HVW03,true,2022-05-30,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-East (HDVE) - bed 14 south section,"4,9",,2022-W08 Dinosaur kale HVE14-S,harvest from 2022-W08 Dinosaur kale HVE14-S,true,2022-05-30,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 13 south section,"0,5",,2022-W19 Dinosaur kale HVW13-S,harvest from 2022-W19 Dinosaur kale HVW13-S,true,2022-05-30,,,,plantings,weight,Kg
Cauliflower,HortasDoVale-East (HDVE) - bed 26 north section,"0,45",,2022-W10 Cauliflower HVE26-N,harvest from 2022-W10 Cauliflower HVE26-N,true,2022-05-30,,,,plantings,weight,Kg
Zucchini,HortasDoVale-East (HDVE) - bed 23 south section,"8,5",,2022-W10 Zucchini HVE23-S,harvest from 2022-W10 Zucchini HVE23-S,true,2022-05-30,,,,plantings,weight,Kg
Zucchini,HortasDoVale-East (HDVE) - bed 24 south section,9,,2022-W10 Zucchini HVE24-S,harvest from 2022-W10 Zucchini HVE24-S,true,2022-05-30,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 11 north section,"2,7",,2021-W34 Zucchini HVW11-N,harvest from 2021-W34 Zucchini HVW11-N,true,2022-05-30,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 1,"2,8",,2022-W09 Zucchini WGH1,harvest from 2022-W09 Zucchini WGH1,true,2022-05-30,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 2,"12,1",,2022-W09 Zucchini WGH2,harvest from 2022-W09 Zucchini WGH2,true,2022-05-30,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 5,"6,73",,2021-W10 Zucchini WGH5,harvest from 2021-W10 Zucchini WGH5,true,2022-05-30,,,,plantings,weight,Kg
Spinaches,HortasDoVale-East (HDVE) - bed 22 south section,"5,29",,2022-W18 Spinaches HVE22-S,harvest from 2022-W18 Spinaches HVE22-S,true,2022-05-30,,,,plantings,weight,Kg
Fennel,HortasDoVale-East (HDVE) - bed 8 north section,"0,6",,2022-W11 Fennel bulb HVE08-N,harvest from 2022-W11 Fennel bulb HVE08-N,true,2022-05-30,,,,plantings,weight,Kg
Fennel,HortasDoVale-East (HDVE) - bed 8 north section,"1,5",,2022-W11 Fennel bulb HVE08-N,harvest from 2022-W11 Fennel bulb HVE08-N,true,2022-05-30,,,,plantings,weight,Kg
Basil,Winter Green House - bed 4,"0,6",,2022-W11 Basil WGH4,harvest from 2022-W11 Basil WGH4,true,2022-05-30,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 5,"18,75",,2021-W49 Strawberry HVE05,harvest from 2021-W49 Strawberry HVE05,true,2022-05-30,,,,plantings,weight,Kg
