species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Hokkaido squash,HortasDoVale-East (HDVE) - bed 17,8,,2022-W20 Hokkaido squash HVE17,harvest from 2022-W20 Hokkaido squash HVE17,true,2022-08-22,,,,plantings,weight,Kg
Muscade Pumpkin,HortasDoVale-East (HDVE) - bed 17,"11,8",,2021-W16 Muscade Pumpkin HVE17,harvest from 2021-W16 Muscade Pumpkin HVE17,true,2022-08-22,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 7 north section,10,,2022-W11 Swiss chard HVW07-N,harvest from 2022-W11 Swiss chard HVW07-N,true,2022-08-22,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 13 north section,"2,7",,2022-W22 Celery HVW13-N,harvest from 2022-W22 Celery HVW13-N,true,2022-08-22,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 5,"5,5",,2022-W20 Celery HVW05,harvest from 2022-W20 Celery HVW05,true,2022-08-22,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 1 north section,"7,2",,2022-W29 Lettuce HVE01-N,harvest from 2022-W29 Lettuce HVE01-N,true,2022-08-22,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 2 south section,"3,3",,2022-W30 Lettuce HVE02-S,harvest from 2022-W30 Lettuce HVE02-S,true,2022-08-22,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 2 south section,"4,5",,2022-W18 Lettuce HVW02-S,harvest from 2022-W18 Lettuce HVW02-S,true,2022-08-22,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 13 north section,"6,2",,2022-W15 Leek HVE13-N,harvest from 2022-W15 Leek HVE13-N,true,2022-08-22,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 13 south section,"9,2",,2021-W32 Leek HVE13-S,harvest from 2021-W32 Leek HVE13-S,true,2022-08-22,,,,plantings,weight,Kg
Dill,HortasDoVale-East (HDVE) - bed 2 north section,"1,1",,2022-W29 Dill HVE02-N,harvest from 2022-W29 Dill HVE02-N,true,2022-08-22,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 3,17,,2022-W16 Aubergine HVW03,harvest from 2022-W16 Aubergine HVW03,true,2022-08-22,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 1 south section,"4,1",,2022-W29 Beetroot HVE01-S,harvest from 2022-W29 Beetroot HVE01-S,true,2022-08-22,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 8 north section,"3,5",,2022-W25 Beetroot HVE08-N,harvest from 2022-W25 Beetroot HVE08-N,true,2022-08-22,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 5,"5,9",,2022-W20 Beetroot HVW05,harvest from 2022-W20 Beetroot HVW05,true,2022-08-22,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 3 south section,"1,44",,2022-W28 Spring onion HVE03-S,harvest from 2022-W28 Spring onion HVE03-S,true,2022-08-22,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,"1,25",,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-08-22,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 11 north section,"5,05",,2021-W34 Zucchini HVW11-N,harvest from 2021-W34 Zucchini HVW11-N,true,2022-08-22,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 11 south section,"3,84",,2022-W23 Zucchini HVW11-S,harvest from 2022-W23 Zucchini HVW11-S,true,2022-08-22,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 20 south section,"1,15",,2022-W30 Zucchini HVW20-S,harvest from 2022-W30 Zucchini HVW20-S,true,2022-08-22,,,,plantings,weight,Kg
Spinaches,HortasDoVale-East (HDVE) - bed 24 north section,"3,06",,2022-W32 Spinaches HVE24-N,harvest from 2022-W32 Spinaches HVE24-N,true,2022-08-22,,,,plantings,weight,Kg
Fennel,HortasDoVale-East (HDVE) - bed 8 north section,"0,88",,2022-W11 Fennel bulb HVE08-N,harvest from 2022-W11 Fennel bulb HVE08-N,true,2022-08-22,,,,plantings,weight,Kg
Basil,HortasDoVale-West (HDVW) - bed 15,"2,4",,2022-W21 Basil HVW15-N,harvest from 2022-W21 Basil HVW15-N,true,2022-08-22,,,,plantings,weight,Kg
Watermelon,HortasDoVale-West (HDVW) - bed 17,"5,5",,2022-W22 Watermelon HVW17,harvest from 2022-W22 Watermelon HVW17,true,2022-08-22,,,,plantings,weight,Kg
