Name,Description,Crop/variety,Season,length FB,Nr plants FB,Area/Location
Abóbora Butternut,"HDV-E, HDV-W, SGH, WGH, NORA",Butternut squash,,,,19U
Abóbora Hokkaido,"HDV-E, HDV-W, SGH, WGH, NORA",Hokkaido squash,,,,19U
Abóbora Menina,"HDV-E, HDV-W, SGH, WGH, NORA",Muscade Pumpkin,,,,19U
Acelgas,"HDV-E, HDV-W, SGH, WGH, NORA",Swiss chard,,,,19U
Agrião,"HDV-E, HDV-W, SGH, WGH, NORA",Land cress,,,,19U
Aipo,"HDV-E, HDV-W, SGH, WGH, NORA",Celery,,,,19U
Aipo Rábano,"HDV-E, HDV-W, SGH, WGH, NORA",Celery root,,,,19U
Alface,"HDV-E, HDV-W, SGH, WGH, NORA",Lettuce,,,,19U
Alho,"HDV-E, HDV-W, SGH, WGH, NORA",Garlic,,,,19U
Alho Francês,"HDV-E, HDV-W, SGH, WGH, NORA",Leek,,,,19U
Alho Francês Mini,"HDV-E, HDV-W, SGH, WGH, NORA",Leek (mini),,,,19U
Alho Fresco,"HDV-E, HDV-W, SGH, WGH, NORA",Fresh garlic,,,,19U
Aneto,"HDV-E, HDV-W, SGH, WGH, NORA",Dill,,,,19U
Batata,"HDV-E, HDV-W, SGH, WGH, NORA",Potato,,,,19U
Batata Doce,"HDV-E, HDV-W, SGH, WGH, NORA",Sweet potato,,,,19U
Beringela,"HDV-E, HDV-W, SGH, WGH, NORA",Aubergine,,,,19U
Beterraba,"HDV-E, HDV-W, SGH, WGH, NORA",Beetroot,,,,19U
Brócolos,"HDV-E, HDV-W, SGH, WGH, NORA",Broccoli,,,,19U
Brócolos rebentos,"HDV-E, HDV-W, SGH, WGH, NORA",Broccoli shoots,,,,19U
Canónigos,"HDV-E, HDV-W, SGH, WGH, NORA",Lambs lettuce,,,,19U
Cebola,"HDV-E, HDV-W, SGH, WGH, NORA",Onion,,,,19U
Cebola fresca,"HDV-E, HDV-W, SGH, WGH, NORA",Spring onion,,,,19U
Cebola roxa,"HDV-E, HDV-W, SGH, WGH, NORA",Purple onion,,,,19U
Cebola seca,"HDV-E, HDV-W, SGH, WGH, NORA",Dry onion,,,,19U
Cebolinho,"HDV-E, HDV-W, SGH, WGH, NORA",Chives,,,,19U
Cenoura,"HDV-E, HDV-W, SGH, WGH, NORA",Carrot,,,,19U
Cenoura com rama,"HDV-E, HDV-W, SGH, WGH, NORA",Carrot with greens,,,,19U
Cenoura mini,"HDV-E, HDV-W, SGH, WGH, NORA",Carrot mini,,,,19U
Chop Suey Greens,"HDV-E, HDV-W, SGH, WGH, NORA",Chop Suey Greens,,,,19U
Coentros,"HDV-E, HDV-W, SGH, WGH, NORA",Coriander,,,,19U
Couve chinesa Granat,"HDV-E, HDV-W, SGH, WGH, NORA",Chinese cabbage,,,,19U
Couve de Bruxelas,"HDV-E, HDV-W, SGH, WGH, NORA",Brussels sprouts,,,,19U
Couve flor/romanesco,"HDV-E, HDV-W, SGH, WGH, NORA",Cauliflower,,,,19U
Couve Frisada (Kale),"HDV-E, HDV-W, SGH, WGH, NORA",Curly kale,,,,19U
Couve Galega,"HDV-E, HDV-W, SGH, WGH, NORA",Galega kale,,,,19U
Couve Portuguesa,"HDV-E, HDV-W, SGH, WGH, NORA",Portuguese cabbage,,,,19U
Couve Rábano,"HDV-E, HDV-W, SGH, WGH, NORA",Kolrabi,,,,19U
Couve Repolho,"HDV-E, HDV-W, SGH, WGH, NORA",Green cabbage,,,,19U
Couve Repolho rebentos,"HDV-E, HDV-W, SGH, WGH, NORA",Green cabbage shoots,,,,19U
Couve Roxa,"HDV-E, HDV-W, SGH, WGH, NORA",Purple cabbage,,,,19U
Couve Toscana,"HDV-E, HDV-W, SGH, WGH, NORA",Dinosaur kale,,,,19U
Curgete,"HDV-E, HDV-W, SGH, WGH, NORA",Zucchini,,,,19U
Curgete Mini,"HDV-E, HDV-W, SGH, WGH, NORA",Zucchini mini,,,,19U
Ervilha grão,"HDV-E, HDV-W, SGH, WGH, NORA",Green peas,,,,19U
Ervilha vagem,"HDV-E, HDV-W, SGH, WGH, NORA",Green pea pods,,,,19U
Espinafres,"HDV-E, HDV-W, SGH, WGH, NORA",Spinaches,,,,19U
Espinafres N.Z.,"HDV-E, HDV-W, SGH, WGH, NORA",N.Z. Spinaches,,,,19U
Favas,"HDV-E, HDV-W, SGH, WGH, NORA",Broad beans,,,,19U
Favas Mini,"HDV-E, HDV-W, SGH, WGH, NORA",Broad beans mini,,,,19U
