Name,Description,Crop/variety,Season,length FB,Nr plants FB,Area/Location
2020-49 Swiss chard Autumn HVW04-N,Length (m): 20.5; Nr of plants: 184,Swiss chard Autumn,AUTUMN,20.5,184,HortasDoVale-West (HDVW) - bed 4 north section
2021-W04 Strawberry HVW24,Length (m): 57; Nr of plants: 426,Strawberry,WINTER,57,426,HortasDoVale-West (HDVW) - bed 24
2021-W04 Strawberry HVW25,Length (m): 57; Nr of plants: 426,Strawberry,WINTER,57,426,HortasDoVale-West (HDVW) - bed 25
2021-W10 Chives SGH3-S,Length (m): 4.45; Nr of plants: 71,Chives,WINTER,4.45,71,Summer Green House (SGH) - bed 3 south section
2021-W10 Zucchini WGH5,Length (m): 22.3; Nr of plants: 22,Zucchini,WINTER,22.3,22,Winter Green House - bed 5
2021-W13 Leek HVE23,Length (m): 55.2; Nr of plants: 1766,Leek,SPRING,55.2,1766,HortasDoVale-East (HDVE) - bed 23
2021-W13 Melon long HVE12-N,Length (m): 27.6; Nr of plants: 27,Melon long,SPRING,27.6,27,HortasDoVale-East (HDVE) - bed 12 north section
2021-W13 Tomatoes small WGH1,Length (m): 8.91; Nr of plants: 8,Tomatoes small,SPRING,8.91,8,Winter Green House - bed 1
2021-W13 Tomatoes varied WGH1,Length (m): 13.4; Nr of plants: 13,Tomatoes varied,SPRING,13.4,13,Winter Green House - bed 1
2021-W13 Watermelon HVE12-S,Length (m): 27.6; Nr of plants: 27,Watermelon,SPRING,27.6,27,HortasDoVale-East (HDVE) - bed 12 south section
2021-W14 N.Z. Spinaches WGH6,Length (m): 2.67; Nr of plants: 21,N.Z. Spinaches,SPRING,2.67,21,Winter Green House - bed 6
2021-W14 Tomato roma WGH6,Length (m): 22.3; Nr of plants: 22,Tomato roma,SPRING,22.3,22,Winter Green House - bed 6
2021-W14 Tomatoes small WGH6,Length (m): 10.7; Nr of plants: 10,Tomatoes small,SPRING,10.7,10,Winter Green House - bed 6
2021-W14 Tomatoes varied WGH6,Length (m): 11.6; Nr of plants: 11,Tomatoes varied,SPRING,11.6,11,Winter Green House - bed 6
2021-W15 Aubergine HVW14,Length (m): 57; Nr of plants: 256,Aubergine,SPRING,57,256,HortasDoVale-West (HDVW) - bed 14
