species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Butternut,HortasDoVale-East (HDVE) - bed 27,"2,6",,2021-W33 Butternut HVE27-S,harvest from 2021-W33 Butternut HVE27-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Hokkaido,HortasDoVale-East (HDVE) - bed 27,"4,8",,2021-W33 Hokkaido HVE27-N,harvest from 2021-W33 Hokkaido HVE27-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 13 north section,5,,2021-W27 Swiss chard HVW13-N,harvest from 2021-W27 Swiss chard HVW13-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 15 south section,1,,2021-W36 Swiss chard HVW15-S,harvest from 2021-W36 Swiss chard HVW15-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 4 north section,10,,2020-0 Swiss chard Autumn HVW04-N,harvest from 2020-0 Swiss chard Autumn HVW04-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Celery,Summer Green House (SGH) - bed 3 north section,5,,2021-W27 Celery SGH3-N,harvest from 2021-W27 Celery SGH3-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 5,"4,5",,2021-W24 Celery HVW05-S,harvest from 2021-W24 Celery HVW05-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 11,"0,6",,2021-W43 Lettuce HVE11-N,harvest from 2021-W43 Lettuce HVE11-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 15 south section,"1,8",,2021-W42 Lambs lettuce HVW15-S,harvest from 2021-W42 Lambs lettuce HVW15-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 18,"5,1",,2021-W43 Lettuce HVW18-N,harvest from 2021-W43 Lettuce HVW18-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 18 north section,"1,3",,2021-W43 Lettuce HVW18-N,harvest from 2021-W43 Lettuce HVW18-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 13 south section,"6,3",,2021-W32 Leek HVE13-S,harvest from 2021-W32 Leek HVE13-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Dill,HortasDoVale-West (HDVW) - bed 15 south section,"0,2",,2021-W36 Dill HVW15-S,harvest from 2021-W36 Dill HVW15-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 14,"0,5",,2021-W15 Aubergine HVW14,harvest from 2021-W15 Aubergine HVW14,TRUE,2022-01-03,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 16,"7,6",,2021-W39 Beetroot HVW16,harvest from 2021-W39 Beetroot HVW16,TRUE,2022-01-03,,,,plantings,weight,Kg
Broccoli,HortasDoVale-East (HDVE) - bed 11 north section,"1,5",,2021-W42 Broccoli HVE11-N,harvest from 2021-W42 Broccoli HVE11-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 16,"1,4",,2021-W39 Broccoli HVW16-N,harvest from 2021-W39 Broccoli HVW16-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 21,"4,27",,2021-W30 Broccoli HVW21,harvest from 2021-W30 Broccoli HVW21,TRUE,2022-01-03,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 10,"1,5",,2021-W35 Spring onion HVE10,harvest from 2021-W35 Spring onion HVE10,TRUE,2022-01-03,,,,plantings,weight,Kg
Coriander,Summer Green House (SGH) - bed 2 north section,"1,875",,2021-W44 Coriander SGH2-N,harvest from 2021-W44 Coriander SGH2-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Coriander,Winter Green House - bed 3,2,,2021-W46 Coriander WGH3,harvest from 2021-W46 Coriander WGH3,TRUE,2022-01-03,,,,plantings,weight,Kg
Curly kale,HortasDoVale-West (HDVW) - bed 16 north section,"0,5",,2021-W39 Curly kale HVW16-N,harvest from 2021-W39 Curly kale HVW16-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-West (HDVW) - bed 4 south section,"5,65",,2021-W36 Green cabbage HVW04-S,harvest from 2021-W36 Green cabbage HVW04-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-West (HDVW) - bed 4 south section,"1,4",,2021-W37 Kolrabi HVW04-S,harvest from 2021-W37 Kolrabi HVW04-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Dinossaur kale,HortasDoVale-West (HDVW) - bed 16 north section,"0,75",,2021-W39 Dinossaur kale HVW16-N,harvest from 2021-W39 Dinossaur kale HVW16-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Dinossaur kale,HortasDoVale-West (HDVW) - bed 9 north section,"3,25",,2021-W32 Dinossaur kale HVW09-N,harvest from 2021-W32 Dinossaur kale HVW09-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Zuccini,Winter Green House - bed 3,"3,1",,2021-W41 Zuccini WGH3,harvest from 2021-W41 Zuccini WGH3,TRUE,2022-01-03,,,,plantings,weight,Kg
Zuccini,Winter Green House - bed 4,"0,9",,2021-W41 Zuccini WGH4,harvest from 2021-W41 Zuccini WGH4,TRUE,2022-01-03,,,,plantings,weight,Kg
Zuccini,HortasDoVale-West (HDVW) - bed 5,"2,4",,2021-W23 Zuccini HVW05-N,harvest from 2021-W23 Zuccini HVW05-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Green beans dwarf normal,HortasDoVale-East (HDVE) - bed 26 south section,"0,9",,2021-W36 Green beans dwarf normal HVE26-S,harvest from 2021-W36 Green beans dwarf normal HVE26-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Fennel,HortasDoVale-West (HDVW) - bed 23,"1,2",,2021-W36 Fennel bulb HVW23-N,harvest from 2021-W36 Fennel bulb HVW23-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Fennel,HortasDoVale-West (HDVW) - bed 23 north section,"1,7",,2021-W36 Fennel bulb HVW23-N,harvest from 2021-W36 Fennel bulb HVW23-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Sprouting turnip,HortasDoVale-East (HDVE) - bed 25 north section,"0,95",,2021-W34 Sprouting turnip HVE25-N,harvest from 2021-W34 Sprouting turnip HVE25-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Hot peppers,HortasDoVale-West (HDVW) - bed 20 south section,"0,23",,2021-W24 Hot peppers HVW20-S,harvest from 2021-W24 Hot peppers HVW20-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Mizuna green,Summer Green House (SGH) - bed 2 north section,"1,2",,2021-W44 Mizuna green SGH2-N,harvest from 2021-W44 Mizuna green SGH2-N,TRUE,2022-01-03,,,,plantings,weight,Kg
