Bulk update,image_target_id,ID,Asset name,Land type,Asset type,Flags,Parents,Group,Location,Status
,,538,Quinta Vale da Lama,Other,Land,,,,,Active
,,537,HortasDoVale-West (HDVW) - bed 22 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 22,,,Active
,,536,HortasDoVale-West (HDVW) - bed 22 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 22,,,Active
,,535,HortasDoVale-West (HDVW) - bed 25 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 25,,,Active
,,534,HortasDoVale-West (HDVW) - bed 25 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 25,,,Active
,,533,HortasDoVale-West (HDVW) - bed 24 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 24,,,Active
,,532,HortasDoVale-West (HDVW) - bed 24 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 24,,,Active
,,531,HortasDoVale-West (HDVW) - bed 23 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 23,,,Active
,,530,HortasDoVale-West (HDVW) - bed 23 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 23,,,Active
,,529,HortasDoVale-West (HDVW) - bed 21 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 21,,,Active
,,528,HortasDoVale-West (HDVW) - bed 21 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 21,,,Active
,,527,HortasDoVale-West (HDVW) - bed 20 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 20,,,Active
,,526,HortasDoVale-West (HDVW) - bed 20 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 20,,,Active
,,525,HortasDoVale-West (HDVW) - bed 19 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 19,,,Active
,,524,HortasDoVale-West (HDVW) - bed 19 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 19,,,Active
,,523,HortasDoVale-West (HDVW) - bed 18 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 18,,,Active
,,522,HortasDoVale-West (HDVW) - bed 18 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 18,,,Active
