Name,Archived,Description,Parent IDs,Parent names,Crop/variety,Season,Area/Location
2020-W40 Swiss chard Autumn HVW04-N,,Length (m): 20.5; Nr of plants: 184,,,Swiss chard Autumn,AUTUMN,HortasDoVale-West (HDVW) - bed 4 north section
2021-W04 Strawberry HVW24,,Length (m): 57; Nr of plants: 426,,,Strawberry,WINTER,HortasDoVale-West (HDVW) - bed 24
2021-W04 Strawberry HVW25,,Length (m): 57; Nr of plants: 426,,,Strawberry,WINTER,HortasDoVale-West (HDVW) - bed 25
2021-W08 Parsley SGH2-N,,Length (m): 4.45; Nr of plants: 160,,,Parsley,WINTER,Summer Green House (SGH) - bed 2 north section
2021-W10 Chives SGH3-S,,Length (m): 4.45; Nr of plants: 80,,,Chives,WINTER,Summer Green House (SGH) - bed 3 south section
2021-W10 Zucchini WGH5,,Length (m): 22.3; Nr of plants: 22,,,Zucchini,WINTER,Winter Green House - bed 5
2021-W13 Leek HVE23,,Length (m): 55.2; Nr of plants: 2208,,,Leek,SPRING,HortasDoVale-East (HDVE) - bed 23
2021-W13 Melon long HVE12-N,,Length (m): 27.6; Nr of plants: 27,,,Melon long,SPRING,HortasDoVale-East (HDVE) - bed 12 north section
2021-W13 Tomatoes small WGH1,,Length (m): 8.91; Nr of plants: 8,,,Tomatoes small,SPRING,Winter Green House - bed 1
2021-W13 Tomatoes varied WGH1,,Length (m): 13.4; Nr of plants: 13,,,Tomatoes varied,SPRING,Winter Green House - bed 1
2021-W13 Watermelon HVE12-S,,Length (m): 27.6; Nr of plants: 27,,,Watermelon,SPRING,HortasDoVale-East (HDVE) - bed 12 south section
2021-W14 N.Z. Spinaches WGH6,,Length (m): 2.67; Nr of plants: 21,,,N.Z. Spinaches,SPRING,Winter Green House - bed 6
2021-W14 Tomato roma WGH6,,Length (m): 22.3; Nr of plants: 22,,,Tomato roma,SPRING,Winter Green House - bed 6
2021-W14 Tomatoes small WGH6,,Length (m): 10.7; Nr of plants: 10,,,Tomatoes small,SPRING,Winter Green House - bed 6
2021-W14 Tomatoes varied WGH6,,Length (m): 11.6; Nr of plants: 11,,,Tomatoes varied,SPRING,Winter Green House - bed 6
2021-W15 Aubergine HVW14,,Length (m): 57; Nr of plants: 256,,,Aubergine,SPRING,HortasDoVale-West (HDVW) - bed 14
2021-W15 Tomatoes small HVW03,,Length (m): 21.4; Nr of plants: 20,,,Tomatoes small,SPRING,HortasDoVale-West (HDVW) - bed 3
2021-W15 Tomatoes varied HVW03,,Length (m): 35.6; Nr of plants: 34,,,Tomatoes varied,SPRING,HortasDoVale-West (HDVW) - bed 3
2021-W16 Basil HVW03,,Length (m): 57; Nr of plants: 256,,,Basil,SPRING,HortasDoVale-West (HDVW) - bed 3
2021-W16 Beetroot HVW03,,Length (m): 57; Nr of plants: 398,,,Beetroot,SPRING,HortasDoVale-West (HDVW) - bed 3
2021-W16 Dinosaur kale SGH1-N,,Length (m): 16; Nr of plants: 144,,,Dinosaur kale,SPRING,Summer Green House (SGH) - bed 1 north section
2021-W16 Muscade Pumpkin HVE15,,Length (m): 55.2; Nr of plants: 54,,,Muscade Pumpkin,SPRING,HortasDoVale-East (HDVE) - bed 15
2021-W16 Muscade Pumpkin HVE17,,Length (m): 55.2; Nr of plants: 54,,,Muscade Pumpkin,SPRING,HortasDoVale-East (HDVE) - bed 17
2021-W19 Swiss chard SGH1-S,,Length (m): 10.7; Nr of plants: 96,,,Swiss chard,SPRING,Summer Green House (SGH) - bed 1 south section
2021-W19 Swiss chard SGH2-S,,Length (m): 10.7; Nr of plants: 96,,,Swiss chard,SPRING,Summer Green House (SGH) - bed 2 south section
2021-W19 Turnip HVW13-S,,Length (m): 18.7; Nr of plants: 2431,,,Turnip,SPRING,HortasDoVale-West (HDVW) - bed 13 south section
2021-W20 Carrot HVE01,,Length (m): 55.2; Nr of plants: 11040,,,Carrot,SPRING,HortasDoVale-East (HDVE) - bed 1
2021-W20 Cucumber HVE06-S,,Length (m): 11.6; Nr of plants: 52,,,Cucumber,SPRING,HortasDoVale-East (HDVE) - bed 6 south section
2021-W20 Zucchini HVE06-N,,Length (m): 27.6; Nr of plants: 22,,,Zucchini,SPRING,HortasDoVale-East (HDVE) - bed 6 north section
2021-W20 Zucchini HVE06-S,,Length (m): 16; Nr of plants: 12,,,Zucchini,SPRING,HortasDoVale-East (HDVE) - bed 6 south section
2021-W21 Aubergine HVW17,,Length (m): 57; Nr of plants: 256,,,Aubergine,SPRING,HortasDoVale-West (HDVW) - bed 17
2021-W21 Basil HVW08-N,,Length (m): 28.5; Nr of plants: 128,,,Basil,SPRING,HortasDoVale-West (HDVW) - bed 8 north section
